Et, CCONJ O
cultelli, NOUN I-OBJECT

Item, ADV O
i, NUM B-OBJECT
brandonum, NOUN I-OBJECT
pro, ADP I-OBJECT
parte, NOUN I-OBJECT
combustum, VERB I-OBJECT

In, ADP O
cellario, NOUN O
dicti, VERB O
domus, NOUN O
hec, ADJ O
bona, NOUN O
sequntur, VERB O
inventa, VERB O
prout, SCONJ O
infra, ADP O

Primo, ADV O
i, NUM O
druell, NOUN O
vinandi, VERB O

Item, ADV O
i, NUM B-OBJECT
vas, NOUN I-OBJECT
vacuum, ADJ I-OBJECT
27, NUM I-OBJECT
milhayrolarum, NOUN I-OBJECT

Item, ADV O
iiii, NUM O
vegetes, NOUN O
vacue, VERB O
de, ADP O
mena, NOUN O

Item, ADV O
iii, NUM O
enbotadors, VERB O

Item, ADV O
i, NUM O
descargadoyra, NOUN O

Item, ADV O
vi, NUM O
tyne, NOUN O
bugaderie, VERB O

Item, ADV O
v, NUM O
tynne, NOUN O
bagnadoyre, VERB O

Item, ADV O
iiii, NUM O
trahedoyre, NOUN O

Item, ADV O
septem, NUM O
pale, NOUN O
furni, NOUN O

Item, ADV O
i, NUM O
serra, NOUN O
duorum, NUM O
manum, NOUN O
cum, ADP O
lima, NOUN O
sua, DET O

Item, ADV O
quatuor, NUM O
serre, NOUN O

Item, ADV O
i, NUM B-OBJECT
manayra, NOUN I-OBJECT

Item, ADV O
i, NUM B-OBJECT
destral, ADJ I-OBJECT

Item, ADV O
ii, NUM O
aysse, NOUN O

Item, ADV O
i, NUM O
magnum, ADJ O
verrubi, VERB O

Item, ADV O
ii, NUM O
mals, NOUN O

Item, ADV O
i, NUM O
magnum, ADJ O
syment, VERB O

Item, ADV O
i, NUM O
modicum, ADJ O
syment, VERB O

Item, ADV O
iii, NUM O
plane, ADV O

Item, ADV O
iiii, NUM O
scalpri, NOUN O

Item, ADV O
i, NUM O
magna, ADJ O
verruna, NOUN O

Item, ADV O
iii, NUM O
bancha, ADJ O

Item, ADV O
i, NUM B-OBJECT
planonum, NOUN I-OBJECT
de, ADP I-OBJECT
gargallar, NOUN I-OBJECT

Item, ADV O
42, NUM O
petie, VERB O
fuste, NOUN O
cranetorum, ADJ O
de, ADP O
sex, NUM O
palmis, NOUN O
usque, ADP O
decem, NUM O
palmos, NOUN O

Item, ADV O
12, NUM O
petie, NOUN O
pleche, VERB O
de, ADP O
tyna, NOUN O
de, ADP O
quercore, NOUN O

Item, ADV O
iii, NUM B-OBJECT
circuli, NOUN I-OBJECT
de, ADP I-OBJECT
fausso, VERB I-OBJECT
de, ADP I-OBJECT
septem, NUM I-OBJECT
gays, NOUN I-OBJECT

Item, ADV O
centum, NUM O
tabule, NOUN O
pyni, VERB O
de, ADP O
quinque, NUM O
palmis, NOUN O
usque, ADP O
octo, NUM B-OBJECT
palmis, NOUN I-OBJECT

Item, ADV O
vi, NUM B-OBJECT
tabule, NOUN I-OBJECT
de, ADP I-OBJECT
melene, NOUN I-OBJECT

Item, ADV O
iiii, NUM B-OBJECT
tors, NOUN I-OBJECT
de, ADP I-OBJECT
melene, NOUN I-OBJECT

Item, ADV O
due, NOUN O
duodene, NOUN O
dogarum, NOUN O
de, ADP O
quercore, NOUN O

Item, ADV O
i, NUM B-OBJECT
calaman, NOUN I-OBJECT
de, ADP I-OBJECT
pyno, NOUN I-OBJECT

Item, ADV O
66, NUM B-OBJECT
scaloni, NOUN I-OBJECT
de, ADP I-OBJECT
pyno, NOUN I-OBJECT

Item, ADV O
ii, NUM O
tauloni, NOUN O

Item, ADV O
14, NUM O
pale, NOUN O
furni, NOUN O
sine, ADP O
caudis, NOUN O

Item, ADV O
v, NUM O
duodene, NOUN O
circulorum, NOUN O
quinque, NUM O
goarum, NOUN O

In, ADP O
cellario, NOUN O
transversie, NOUN O
Sancte, NOUN O
Marie, NOUN O
sunt, AUX O
inventa, VERB O
hec, ADJ O
bona, NOUN O
prout, SCONJ O
ecce, PART O

Primo, ADV O
i, NUM O
vas, NOUN O
18, NUM O
millarum, NOUN O
vacuum, ADJ O

Item, ADV O
i, NUM O
bota, ADJ O
12, NUM O
millarum, NOUN O
vacua, ADJ O

Item, ADV O
i, NUM O
bota, NOUN O
septem, NUM O
millarum, NOUN O
vacua, ADJ O

Item, ADV O
vi, NUM O
bote, NOUN O
de, ADP O
mena, NOUN O
vacua, ADJ O

Item, ADV O
i, NUM B-OBJECT
vas, NOUN I-OBJECT
vinandi, VERB I-OBJECT

Item, ADV O
viii, NUM O
descargadoyre, ADV O

Item, ADV O
iiii, NUM O
torculeria, NOUN O
calcandi, VERB O
racemos, NOUN O

Item, ADV O
iii, NUM O
duodene, NOUN O
circulorum, NOUN O
de, ADP O
sauze, NOUN O
trium, NUM O
goarum, NOUN O

Primo, ADV O
habuit, VERB O
in, ADP O
dote, NOUN O
dicta, VERB O
domina, NOUN O
Sanxia, NOUN O
duas, NUM O
setzenas, ADJ O
cum, SCONJ O
dimidia, ADJ O
in, ADP O
molendino, VERB O
vulgariter, ADV O
appellato, VERB O
dels, X O
Vivautz, VERB O

Item, ADV O
300, NUM O
librarum, NOUN O
massilientium, VERB O
minutorum, NOUN O
quas, PRON O
de, ADP O
moneta, NOUN O
nunc, ADV O
currenta, VERB O
in, ADP O
Massilie, ADJ O
valent, VERB O
et, CCONJ O
assendunt, VERB O
600, NUM O
librarum, NOUN O
et, CCONJ O
ultra, ADP O
vestes, NOUN O
et, CCONJ O
jochalia, ADJ O
sua, DET O

Sequntur, VERB O
bona, NOUN O
parafernalia, ADJ O

Primo, ADV O
quoddam, DET O
hospicium, NOUN O
payroalem, ADJ O
quod, PRON O
fuit, AUX O
domini, NOUN O
Raimondi, NOUN O
Raolini, NOUN O
condam, VERB O
avi, NOUN O
materni, ADJ O
ipsorum, DET O
fratrum, NOUN O
cum, ADP O
froyre, NOUN O
et, CCONJ O
omnia, DET O
bona, NOUN O
mobilia, ADJ O
que, CCONJ O
fuerunt, AUX O
predicti, VERB O
domini, NOUN O
Raymundi, NOUN O
Raolini, NOUN O

Item, ADV O
alias, DET O
duas, NUM O
setzenas, ADJ O
et, CCONJ O
media, ADJ O
in, ADP O
dicto, VERB O
molendino, VERB O
dels, X O
Vivautz, VERB O

Item, ADV O
unum, NUM O
hospicium, NOUN O
scitum, VERB O
in, ADP O
Piscaria, ADJ O
Massilie, NOUN O
quod, PRON O
locatur, VERB O
omni, DET O
anno, NOUN O
x, NUM O
librarum, NOUN O

Item, ADV O
unum, NUM O
operatorium, ADJ O
scitum, VERB O
in, ADP O
Draparia, ADJ O
Inferiori, ADJ O
quod, PRON O
locatur, VERB O
omni, DET O
anno, NOUN O
sex, NUM O
librarum, NOUN O

Item, ADV O
59, NUM O
solidi, NOUN O
censuales, ADJ O
quos, PRON O
serviunt, VERB O
quinque, NUM O
facherii, NOUN O
pro, ADP O
diverssis, ADJ O
possessionibus, NOUN O

Item, ADV O
unum, NUM O
claus, NOUN O
vinee, VERB O
scitum, VERB O

Sequuntur, VERB O
jocalia, ADJ O

Et, CCONJ O
primo, ADV O
unum, NUM O
mantellum, NOUN O
et, CCONJ O
supertunicale, ADJ O
garnita, VERB O
seu, CCONJ O
freada, NOUN O
cum, ADP O
firmaturis, NOUN O
et, CCONJ O
gautes, NOUN O
argento, NOUN O
et, CCONJ O
margaritis, NOUN O
foirata, VERB O
de, ADP O
variis, ADJ O
et, CCONJ O
quandam, DET O
tunicam, NOUN O
freada, ADJ O
argento, NOUN O
et, CCONJ O
margaritis, ADJ O
eodem, DET O
modo, NOUN O
ut, ADV O
supertunicale, ADJ O
predictum, VERB O

Item, ADV O
quandam, DET O
vestem, NOUN O
scilicet, CCONJ O
mantellum, NOUN O
