Et, CCONJ O
cum, ADP I-OBJECT
lapide, NOUN I-OBJECT
diamanti, VERB I-OBJECT

Item, ADV O
Bernardo, NOUN O
Martini, NOUN O
in, ADP O
florenis, NOUN O
triginta, NUM O
de, ADP O
quibus, PRON O
habet, VERB O
cordulos, NOUN O
perlarum, NOUN O
undecim, NUM O
grossos, ADJ O
et, CCONJ O
perlarum, NOUN O
grossarum, NOUN O

Item, ADV O
Rosse, PROPN O
judee, VERB O
in, ADP O
florenis, NOUN O
octo, NUM O
et, CCONJ O
grossis, ADJ O
sex, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
unam, NUM B-OBJECT
zonam, NOUN I-OBJECT
argenti, NOUN I-OBJECT

Item, ADV O
per, ADP O
manus, NOUN O
Mosseni, NOUN O
de, ADP O
Cadaneto, ADJ O
qui, PRON O
posuit, VERB O
in, ADP O
pignore, NOUN O
unam, NUM O
magnam, ADJ O
zonam, NOUN O
argenti, NOUN O
pro, ADP O
viginti, NUM O
quatuor, NUM O
florenis, NOUN O
auri, NOUN O

Item, ADV O
Petro, PROPN O
de, ADP O
Sancto, ADJ O
Jacobo, NOUN O
in, ADP O
florenos, NOUN O
auri, NOUN O
quinque, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
unum, NUM O
annulum, NOUN O
auri, NOUN O
cum, ADP O
perlis, NOUN O
circumcirca, VERB O

Item, ADV O
Mossenus, ADJ O
de, ADP O
Cadaneto, ADJ O
impignoravit, VERB O
unum, NUM O
bassinetum, ADJ O
unam, NUM O
cottam, NOUN O
malhe, ADP O
unum, NUM O
cavaghonum, NOUN O
malhe, VERB O
pro, ADP O
florenis, NOUN O
sex, NUM O

Item, ADV O
Johanni, PROPN O
de, ADP O
Montiliis, ADJ O
in, ADP O
florenis, NOUN O
duodecim, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
unam, NUM O
magnam, ADJ O
vanoam, NOUN O

Item, ADV O
domine, NOUN O
Gantelme, ADV O
Atulphe, VERB O
in, ADP O
florenis, NOUN O
decem, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
pannum, NOUN O
meianum, VERB O
de, ADP O
Francia, NOUN O
et, CCONJ O
unam, NUM O
sayam, NOUN O
de, ADP O
Francia, NOUN O
armeratam, VERB O
armis, NOUN O
ipsius, DET O

Item, ADV O
domine, NOUN O
Beatrici, NOUN O
de, ADP O
Vaqueriis, NOUN O
in, ADP O
florenis, NOUN O
quinque, NUM O

Item, ADV O
Astrugetus, VERB O
de, ADP O
Bederida, NOUN O
impignoravit, VERB O
unam, NUM O
chopam, NOUN O
de, ADP O
chameloto, NOUN O
rubeo, NOUN O
cum, ADP O
penna, NOUN O
scurolorum, NOUN O
unam, NUM O
zonam, NOUN O
argenti, NOUN O
et, CCONJ O
aliquos, DET B-OBJECT
thoretos, VERB I-OBJECT
perlarum, NOUN I-OBJECT
pro, ADP I-OBJECT
viginti, NUM I-OBJECT
florenis, NOUN I-OBJECT

Item, ADV O
idem, DET O
Astarguetus, ADJ O
posuit, VERB O
in, ADP O
pignore, NOUN O
aliquos, DET O
tranchados, NOUN O
et, CCONJ O
octo, NUM O
branchas, NOUN O
coralhi, VERB O
munitas, NOUN O
argenti, NOUN O
uno, NUM O
calice, NOUN O
cum, ADP O
patena, NOUN O
argenti, NOUN O
pro, ADP O
sexdecim, NUM O
florenis, NOUN O

Item, ADV O
domino, NOUN O
Stephano, PROPN O
Jordani, NOUN O
in, ADP O
florenis, NOUN O
decem, NUM O
et, CCONJ O
octo, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
unam, NUM O
tasseam, NOUN O
magnam, ADJ O
argenti, NOUN O
et, CCONJ O
duos, NUM O
annulos, NOUN O
auri, NOUN O
causa, NOUN O
mutui, ADJ O

Item, ADV O
Ludovico, NOUN O
Olivarii, NOUN O
in, ADP O
florenis, NOUN O
duobus, NUM O

Item, ADV O
Martino, PROPN O
elie, NUM O
in, ADP O
florenis, NOUN O
quatuor, NUM O
causa, NOUN O
emptionis, NOUN O
civate, VERB O

Item, ADV O
Antonio, PROPN O
Nicolai, PROPN O
pro, ADP O
vestibus, NOUN O
nigris, ADJ O
et, CCONJ O
aliis, DET O
raubis, NOUN O
habet, VERB O
in, ADP O
pignore, NOUN O
unum, NUM O
copertorium, ADJ O
de, ADP O
sirico, NOUN O
unam, NUM O
coutram, NOUN O
et, CCONJ O
tres, NUM O
magnos, ADJ O
cordulas, NOUN O
perlarum, ADJ O
et, CCONJ O
unam, NUM B-OBJECT
vanoam, NOUN I-OBJECT

Item, ADV O
Bartholomeo, NOUN O
de, ADP O
Montiliis, ADJ O
in, ADP O
florenis, NOUN O
viginti, NUM O
habet, VERB O
in, ADP O
pignore, NOUN O
magnum, ADJ O
pannum, NOUN O
sive, CCONJ O
drap, NOUN O
Francie, NOUN O

Item, ADV O
Laurentio, VERB O
de, ADP O
Sancto, ADJ O
Jacobo, NOUN O
duos, NUM O
florenis, NOUN O
auri, NOUN O
habet, VERB O
in, ADP O
pignore, NOUN O
aliquos, DET O
grossos, ADJ O
patre, NOUN O
nostre, DET O
d۪ambre, X O

Item, ADV O
Philippo, PROPN O
Colrati, VERB O
pro, ADP O
cera, NOUN O
exaequiarum, NOUN O
habet, VERB O
in, ADP O
pignore, NOUN O
unum, NUM B-OBJECT
pannum, NOUN I-OBJECT
Francie, NOUN I-OBJECT

Item, ADV O
Antonete, ADV O
Martine, VERB O
florenos, NOUN O
decem, NUM O
auri, NOUN O

Item, ADV O
cuidam, ADJ O
Cathalano, ADJ O
quinque, NUM O
florenos, NOUN O
auri, NOUN O
habet, VERB O
in, ADP O
pignore, NOUN O
sex, NUM O
brochas, NOUN O
argenti, NOUN O

Item, ADV O
dicte, VERB O
Anthonete, VERB O
Martine, VERB O
in, ADP O
uno, NUM O
scuto, NOUN O
pro, ADP O
velo, NOUN O
sive, SCONJ O
olet, VERB O
dicte, VERB O
domine, VERB O
Raynaude, VERB O

Sequuntur, VERB O
bona, NOUN O
mobilia, ADJ O
reperta, VERB O
in, ADP O
supradicta, VERB O
bastida, NOUN O

Primo, ADV O
in, ADP O
Cappella, NOUN O
ejusdem, DET O
bastide, VERB O

unum, NUM O
oratorium, ADJ O
depictum, VERB O
cum, ADP O
diversis, ADJ O
ymaginibus, NOUN O
magnum, ADJ O

Item, ADV O
unam, NUM B-OBJECT
tabulam, NOUN I-OBJECT
cum, ADP I-OBJECT
aliquibus, DET I-OBJECT
orationibus, NOUN I-OBJECT
descriptam, VERB I-OBJECT

In, ADP O
socolo, NOUN O
dicte, NOUN O
domus, NOUN O

